0.010  43791.0   19640.0   15571.9   22062.9 
0.014  27021.7    9569.3    9538.0   23280.4 
0.018  24631.7    7058.4    6291.8   22818.3 
0.022  26076.4    6201.8    5442.2   21783.8 
0.026  22163.8    4603.7    4441.0   20477.8 
0.030  18784.6    3430.5    3006.7   18991.5 
0.034  17050.0    2785.1    2850.8   17524.0 
0.038  15233.3    2283.4    2521.6   16153.5 
0.042  13069.6    1801.0    2349.1   14985.6 
0.046  13904.3    1808.1    2420.1   14040.4 
0.050  14085.4    1703.1    2110.7   13183.9 
0.054  12021.6    1348.5    1840.4   12405.9 
0.058  11452.8    1221.2    1414.9   11738.7 
0.062  10829.3    1099.9    1283.4   11114.0 
0.066  10269.5     985.9    1115.3   10490.4 
0.070  9477.6     870.1    1088.4    9849.1 
0.074  9209.2     822.0    1107.1    9205.2 
0.078  8418.5     737.4     807.5    8571.7 
0.082   7985.5     682.6     697.7    7967.9 
0.086   7275.4     603.2     737.4    7426.2 
0.090   6557.0     521.3     607.7    6916.7 
0.094   6290.2     491.3     658.6    6462.1 
0.099   5636.1     440.8     421.1    6070.1 
0.103   5196.2     407.6     385.8    5748.2 
0.107   5113.0     401.2     406.1    5479.2 
0.111   5086.4     393.4     536.8    5242.0 
0.115   5080.4     384.2     515.6    5028.1 
0.119   4902.5     366.8     482.1    4820.7 
0.123   4549.7     338.3     298.1    4606.2 
0.127   4362.7     317.4     244.0    4392.3 
0.131   4269.7     310.0     241.1    4181.5 
0.135   3862.7     278.2     220.7    3969.9 
0.139   3563.6     257.3     209.2    3767.2 
0.143   3396.6     244.7     205.1    3577.2 
0.147   3242.2     231.9     202.2    3401.9 
0.151   3121.7     222.4     162.3    3248.7 
0.155   3074.0     218.7     175.6    3112.9 
0.169   2867.9     203.8     239.5    2728.6 
0.185   2438.2     173.9     170.9    2362.8 
